client_id,process_step,success,time_diff_seconds,error,error_count,Variation
555,5,True,158.0,False,0,Test
647,5,True,377.0,False,0,Test
934,1,False,142.0,False,0,Test
1028,4,False,538.0,False,0,Control
1104,1,False,0.0,False,0,Control
1186,3,False,22.0,False,0,Control
1195,5,True,245.0,False,0,Control
1197,5,True,95.0,False,0,Control
1336,5,True,293.0,False,0,Test
1346,4,False,495.0,False,0,Test
1368,1,False,0.0,False,0,Control
1643,5,True,821.0,False,0,Test
1702,5,True,0.0,False,0,Test
1755,5,True,319.0,False,0,Test
1836,5,True,519.0,False,0,Test
1936,5,True,208.0,False,0,Test
2439,1,False,0.0,False,0,Control
2581,1,False,0.0,False,0,Control
2720,1,False,173.0,False,0,Test
3232,5,True,320.0,False,0,Test
3572,5,True,255.0,False,0,Test
3647,4,False,804.0,False,0,Control
3743,5,True,292.0,False,0,Control
4369,5,True,632.0,False,0,Test
4603,5,True,159.0,False,0,Test
4717,5,True,507.0,False,0,Test
4870,5,True,412.0,False,0,Test
5354,5,True,96.0,False,0,Control
6022,2,False,383.0,False,0,Test
6150,1,False,0.0,False,0,Test
6642,5,True,443.0,False,0,Control
6904,5,True,125.0,False,0,Test
6977,5,True,227.0,False,0,Control
6985,5,True,626.0,False,0,Control
7020,5,True,372.0,False,0,Control
7561,3,False,128.0,False,0,Test
7563,5,True,315.0,False,0,Test
7567,5,True,141.0,False,0,Control
7657,5,True,289.0,False,0,Test
7723,5,True,311.0,False,0,Test
7934,2,False,48.0,False,0,Test
8023,2,False,6.0,False,0,Test
8039,4,False,267.0,False,0,Control
8055,5,True,297.0,False,0,Test
8101,5,True,954.0,False,0,Control
8124,1,False,0.0,False,0,Control
8610,1,False,18.0,False,0,Test
8712,3,False,693.0,False,0,Test
8820,5,True,418.0,False,0,Test
9229,3,False,93.0,False,0,Control
9751,3,False,123.0,False,0,Test
9767,5,True,517.0,False,0,Control
9845,1,False,0.0,False,0,Control
9916,5,True,39.0,False,0,Test
10363,2,False,56.0,False,0,Test
11040,5,True,120.0,False,0,Test
11054,5,True,609.0,False,0,Control
11122,5,True,211.0,False,0,Control
11309,5,True,198.0,False,0,Test
11880,5,True,380.0,False,0,Test
12045,3,False,48.0,False,0,Control
13009,5,True,397.0,True,1,Control
13735,5,True,201.0,False,0,Test
14690,2,False,120.0,False,0,Test
14775,1,False,0.0,False,0,Control
15050,5,True,344.0,False,0,Test
15189,5,True,147.0,False,0,Test
15807,4,False,156.0,False,0,Test
16095,4,False,69.0,False,0,Control
16098,5,True,122.0,False,0,Test
16202,2,False,21.0,False,0,Control
16295,5,True,509.0,False,0,Test
16549,5,True,400.0,False,0,Control
16679,3,False,96.0,False,0,Control
16744,1,False,18.0,False,0,Control
